e1,e2,all
db00172,"['db00172', 'db08847']","['db00172', 'db00172', 'db08847']"
db00173,"['db00173', 'db00993', 'db00352', 'db01033']","['db00173', 'db00173', 'db00993', 'db00352', 'db01033']"
db00174,"['db00174', 'db00160', 'db00129', 'db00149', 'db00128', 'db00123', 'db00125']","['db00174', 'db00174', 'db00160', 'db00129', 'db00149', 'db00128', 'db00123', 'db00125']"
db00175,"['db00175', 'db00641', 'db00227']","['db00175', 'db00175', 'db00641', 'db00227', 'c0233794', 'c1443060', 'c0028643', 'c0027497', 'c0038325', 'c0442874', 'c0877359', 'c0427055', 'c0086543', 'c0028084', 'c0043251', 'c0020580', 'c0002962', 'c0003864', 'c0234233', 'c0011991', 'c0016382', 'c0085605', 'c0015672', 'c0019158', 'c0917801', 'c3263723', 'c0751295', 'c0157733', 'c0876973', 'c0948594', 'c0042571', 'c0043096', 'c0409974', 'c0948089', 'c0014236', 'c0026821', 'c0853034', 'c0031350', 'c0162830', 'c0000737', 'c0349506', 'c0002792', 'c0151763', 'c0034150', 'c0345904', 'c0028866', 'c0002871', 'c0009676', 'c0002622', 'c0003467', 'c0031117', 'c0003811', 'c0027051', 'c0032533', 'c1142028', 'c0014742', 'c0543698', 'c0027080', 'c0687713', 'c0162287', 'c0042384', 'c0004093', 'c0151662', 'c0151905', 'c0042769', 'c0018500', 'c0233494', 'c0020517', 'c0030193', 'c0021400', 'c0035410', 'c0037317', 'c0151786', 'c0027769', 'c0919980', 'c0022354', 'c0008031', 'c0344232', 'c0521516', 'c0013404', 'c0020458', 'c0028259', 'c0010200', 'c0009806', 'c1142139', 'c0002170', 'c0234238', 'c0042963', 'c0023530', 'c0018681', 'c0520962', 'c0030332', 'c0281913', 'c0236075', 'c0687133', 'c0028734', 'c0018418', 'c0012359', 'c0040034', 'c0043094', 'c0013378', 'c0037199', 'c1368065', 'c0852911', 'c0026858', 'c0853875', 'c0015230', 'c0851578', 'c0037763', 'c2239176', 'c0015967', 'c0006147', 'c0030554', 'c0278134', 'c0231218', 'c1510497', 'c0042029', 'c1868980', 'c0014457', 'c0338908', 'c0012569', 'c0234215', 'c0020538', 'c0233472', 'c0549622', 'c0423636', 'c0003123', 'c0030305', 'c0242339', 'c0035243', 'c0022660', 'c0232462', 'c0014518', 'c0151766', 'c3665347', 'c0338656', 'c2981158', 'c0700590', 'c0012833', 'c0024141', 'c0029089', 'c0002878', 'c0033774', 'c0009450', 'c0042109', 'c0027441', 'c0542476', 'c0011570', 'c0002994', 'c0011633', 'c0151576', 'c0026848', 'c0016204', 'c0600142', 'c0009443', 'c0151798', 'c0040586', 'c0438717', 'c0242350', 'c0151480', 'c0085633', 'c0022346', 'c0003862', 'c1384666', 'c3267047', 'c0018799', 'c0035455', 'c0011603', 'c0239571', 'c0086565', 'c0041912', 'c0151908', 'c0013395', 'c0013604', 'c0151849', 'c0040264', 'c0085593', 'c0520463', 'c0013428', 'c0009241', 'c0206062', 'c0023895', 'c0000731', 'c0011053', 'c0231528', 'c0040822', 'c0018834', 'c2047937']"
db00176,"['db00176', 'db01207']","['db00176', 'db00176', 'db01207', 'c0001807', 'c0022660', 'c0017152', 'c0151888', 'c0235969', 'c0232849', 'c0020651', 'c0855242', 'c0014518', 'c0234518', 'c0042035', 'c0151596', 'c0151827', 'c0020676', 'c0022408', 'c0004093', 'c0232461', 'c0035410', 'c0027066', 'c0522172', 'c0039621', 'c0349231', 'c0014868', 'c0020458', 'c0013390', 'c0231218', 'c0040822', 'c0011124', 'c0019080', 'c0038587', 'c0026826', 'c0006444', 'c0018799', 'c0851536', 'c0011570', 'c0206062', 'c0085636', 'c0231365', 'c0019825', 'c0152128', 'c0234022', 'c0013604', 'c0009595', 'c0002170', 'c0029408', 'c0011168', 'c0025320', 'c0085633', 'c0233494', 'c0009676', 'c0085631', 'c0558489', 'c0151824', 'c0549622', 'c0042384', 'c0151474', 'c0522178', 'c0004936', 'c0237314', 'c0233471', 'c0030305', 'c0234133', 'c0043387', 'c0547030', 'c0151505', 'c0232487', 'c0232197', 'c0036974', 'c0004604', 'c0314719', 'c0085136', 'c0151899', 'c0948594', 'c0017168', 'c0019079', 'c0006145', 'c0085271', 'c0019112', 'c0003467', 'c0027497', 'c0040409', 'c0034880', 'c0019340', 'c0020621', 'c0009421', 'c0151907', 'c0242301', 'c0042029', 'c0014742', 'c0020039', 'c0043094', 'c0019158', 'c0574067', 'c0026848', 'c0600260', 'c0016204', 'c1956346', 'c0005940', 'c1306341', 'c0018681', 'c0041969', 'c0040460', 'c0026827', 'c0149931', 'c0085932', 'c0151898', 'c0017181', 'c0015967', 'c0549209', 'c0030232', 'c0038325', 'c0034150', 'c0234458', 'c0017601', 'c0003811', 'c0003862', 'c0234215', 'c0039231', 'c0006277', 'c0039971', 'c0428977', 'c0085606', 'c0085649', 'c0542571', 'c0034152', 'c0017178', 'c0151610', 'c0023518', 'c0948089', 'c0151836', 'c0042023', 'c0009763', 'c0017160', 'c0018524', 'c0020514', 'c0344232', 'c0038454', 'c0687713', 'c0086565', 'c0010399', 'c0237938', 'c0227791', 'c0007859', 'c0948525', 'c0028961', 'c0015230', 'c0392025', 'c0009450', 'c0011175', 'c0020615', 'c3263723', 'c0085623', 'c0002871', 'c0013781', 'c0011334', 'c0020625', 'c2830004', 'c0033036', 'c0011253', 'c0017672', 'c0013456', 'c0020473', 'c0003460', 'c0016867', 'c0040264', 'c0009319', 'c0013378', 'c0015371', 'c0025323', 'c0042267', 'c0086439', 'c0018790', 'c0041105', 'c0085628', 'c0917799', 'c0231528', 'c0455204', 'c0233472', 'c1258215', 'c1269683', 'c0151754', 'c0032285', 'c0038362', 'c0033860', 'c0340464', 'c0028734', 'c1971624', 'c0023218', 'c0018991', 'c0030554', 'c0917801', 'c0011849', 'c0042024', 'c0042373', 'c0404521', 'c0235309', 'c0033117', 'c0035078', 'c0221100', 'c2979982', 'c0424000', 'c0020624', 'c0031117', 'c0032617', 'c0011053', 'c0151825', 'c0003123', 'c0016655', 'c0520966', 'c0022904', 'c0018926', 'c0016658', 'c0002453', 'c0032708', 'c0033774', 'c0022650', 'c0013922', 'c3665347', 'c0020453', 'c2242996', 'c0014394', 'c0087169', 'c0151736', 'c2047937', 'c0853149', 'c0008325', 'c0010692', 'c0151544', 'c0023067', 'c0151772', 'c0021400', 'c0015672', 'c1142135', 'c0233697', 'c0392684', 'c0687133', 'c0575081', 'c0267792', 'c0234238', 'c0013595', 'c0522224', 'c0235196', 'c0151315', 'c0277925', 'c0008350', 'c0267596', 'c0035305', 'c0518015', 'c0034886', 'c0521008', 'c0014591', 'c1112442', 'c0027609', 'c0235660', 'c0037199', 'c0000731', 'c0853089', 'c0086132', 'c0040485', 'c0011615', 'c0270458', 'c0024902', 'c0030794', 'c1868709', 'c0600228', 'c0152198', 'c0011606', 'c0019521', 'c0011206', 'c0151908', 'c0013491', 'c0043096', 'c0036454', 'c0700590', 'c0041747', 'c0042075', 'c0031046', 'c0013144', 'c0018965', 'c0392156', 'c0037036', 'c0042963', 'c0003578', 'c0035455', 'c0025874', 'c0019372', 'c0151559', 'c0085593', 'c0497156', 'c0085632', 'c0423791', 'c0031350', 'c0699828', 'c0020701', 'c0000833', 'c0010200', 'c0232726', 'c0019360', 'c0851578', 'c0033046', 'c0005741', 'c0027051', 'c0018520', 'c2937350', 'c0003873', 'c0018021', 'c0002874', 'c0679048', 'c0023533', 'c0235774', 'c0040435', 'c0038990', 'c0001818', 'c0030252', 'c0242422', 'c0041912', 'c0011551', 'c0042769', 'c0020649', 'c0242350', 'c0023066', 'c0002792', 'c0027651', 'c0435002', 'c0013362', 'c0004134', 'c0017574', 'c0036572', 'c0162429', 'c0029882', 'c0042514', 'c0151878', 'c0585186', 'c1320474', 'c0031542', 'c0036358', 'c0042109', 'c0039070', 'c0010043', 'c0007222', 'c0013395', 'c0948281', 'c0151766', 'c0015732', 'c0020604', 'c0027932', 'c0162830', 'c0026961', 'c0037763', 'c0023380', 'c1760428', 'c0240322', 'c0085096', 'c0025222', 'c0014724', 'c0033575', 'c0009806', 'c0012797', 'c0020578', 'c0009946', 'c0041657', 'c0022346', 'c0042571', 'c0442874', 'c0686347', 'c0020456', 'c0020538', 'c0021177', 'c0020443', 'c0001824', 'c0235818', 'c0235146', 'c0919661', 'c1456784', 'c1704212', 'c0349506', 'c0004096', 'c0013404', 'c1368065', 'c0021141', 'c0039520', 'c0231686', 'c0012569', 'c0003864', 'c0040479', 'c3665386', 'c0151786', 'c1167965', 'c1527344', 'c0038663', 'c0018801', 'c0149745', 'c0020517', 'c0702166', 'c0012833', 'c0424295', 'c0011991', 'c0011071', 'c0429029', 'c0947912', 'c0002418', 'c0595877', 'c0017675', 'c0014130', 'c0027769', 'c0549249', 'c0151752', 'c0233632', 'c0002994', 'c0149707', 'c0025345', 'c0008031', 'c0232462', 'c0022107', 'c0030193', 'c0028754', 'c0027849', 'c0015397', 'c1443060', 'c0027765', 'c0023530', 'c0020580', 'c1565489', 'c0338831', 'c0021843', 'c0231530', 'c0234047', 'c0750394', 'c0013428', 'c0006325', 'c0878544', 'c0002962', 'c0158350', 'c0002957', 'c3495920', 'c0043352', 'c0392525', 'c0019270', 'c0019348', 'c0010520', 'c1510410', 'c1704373', 'c0027796', 'c0034074', 'c0080274', 'c2242737', 'c0002622', 'c0403632', 'c0033975', 'c0040034', 'c0038045', 'c2364111', 'c0000737', 'c0004245', 'c0011603', 'c0036508', 'c0013384', 'c0026884']"
db00177,"['db00177', 'db00796', 'db01349', 'db00678', 'db01342', 'db01029']","['db00177', 'db00177', 'db00796', 'db01349', 'db00678', 'db01342', 'db01029', 'c0085932', 'c1279945', 'c0004238', 'c0014591', 'c0006277', 'c2981158', 'c0013604', 'c0232492', 'c1800706', 'c0948594', 'c0022660', 'c0020625', 'c0085786', 'c0917801', 'c0004093', 'c0015230', 'c0037274', 'c0234987', 'c0042769', 'c2830004', 'c0017178', 'c0039070', 'c0037199', 'c0027765', 'c0497247', 'c0553704', 'c0004604', 'c0042571', 'c0009806', 'c0231528', 'c0020649', 'c0036830', 'c0035410', 'c0018681', 'c0004936', 'c0019080', 'c0033774', 'c0011603', 'c1565489', 'c0041657', 'c0042109', 'c0041969', 'c0853760', 'c0850149', 'c0349506', 'c0687713', 'c0009450', 'c0003862', 'c0036974', 'c0003123', 'c0010200', 'c0002994', 'c0085576', 'c0025061', 'c0009782', 'c0002792', 'c0851341', 'c0018799', 'c0008031', 'c0178298', 'c0242350', 'c0022661', 'c0232462', 'c0020461', 'c0021053', 'c0035078', 'c0030252', 'c0162830', 'c0000737', 'c0235996', 'c0015672', 'c0151786', 'c0041912', 'c0030554', 'c0019158', 'c0013378', 'c0012833', 'c0003467', 'c0043352', 'c0038999', 'c0020651', 'c0687133', 'c0027121', 'c0035455', 'c0037763', 'c0162429', 'c0027947', 'c0040034', 'c0026821', 'c0011991', 'c0151539', 'c0042384', 'c0042963', 'c0016204', 'c0027497', 'c0020517', 'c0151934', 'c0042373', 'c1384353', 'c0042075', 'c0002170', 'c0013395', 'c0013404', 'c0018801', 'c0031350', 'c0518015', 'c0344232', 'c0235431', 'c2364111', 'c0700225']"
db00178,"['db00178', 'db01348', 'db00691', 'db00731', 'db00881', 'db01252', 'db00168', 'db00542', 'db00790', 'db00584', 'db01340', 'db00492']","['db00178', 'db00178', 'db01348', 'db00691', 'db00731', 'db00881', 'db01252', 'db00168', 'db00542', 'db00790', 'db00584', 'db01340', 'db00492', 'c0017160', 'c0919823', 'c0043352', 'c0012833', 'c0000737', 'c0037036', 'c0040822', 'c0036974', 'c0007820', 'c0022660', 'c0549369', 'c0233414', 'c0085649', 'c0017178', 'c0700590', 'c0085661', 'c0013378', 'c0039070', 'c0011603', 'c0020615', 'c0006145', 'c0750394', 'c0013604', 'c0034150', 'c0349506', 'c0020458', 'c0003862', 'c0232462', 'c0019158', 'c0037317', 'c0037763', 'c0030807', 'c0027769', 'c0027765', 'c0423791', 'c1384666', 'c0003864', 'c0178298', 'c0151773', 'c0023518', 'c0013395', 'c0151744', 'c0011053', 'c0151539', 'c0011124', 'c0030554', 'c0030805', 'c0038362', 'c0042963', 'c0687133', 'c0235763', 'c0020517', 'c0037274', 'c0008031', 'c0039231', 'c0034068', 'c0014034', 'c0151578', 'c0235431', 'c0011168', 'c0004096', 'c0242350', 'c0027424', 'c0018418', 'c1535950', 'c0151480', 'c1368065', 'c0027497', 'c0002994', 'c0014457', 'c0042029', 'c0085624', 'c0042109', 'c0015230', 'c0035078', 'c0344315', 'c0151798', 'c0041912', 'c0574067', 'c0021308', 'c0014130', 'c0233494', 'c0030252', 'c0221512', 'c0085631', 'c0004238', 'c0917801', 'c0014518', 'c0009806', 'c0232492', 'c0037199', 'c0022354', 'c0036572', 'c0004936', 'c0023066', 'c0042384', 'c0003123', 'c0151763', 'c0018801', 'c0948008', 'c0151766', 'c0014742', 'c0149725', 'c0679403', 'c0031117', 'c0001824', 'c0863113', 'c0021053', 'c0855242', 'c0085605', 'c2047937', 'c0009676', 'c0035067', 'c0006277', 'c0855625', 'c0009763', 'c0231528', 'c0038454', 'c0040264', 'c0007787', 'c0018681', 'c0151632', 'c0043094', 'c0234215', 'c0033860', 'c0948586', 'c0032541', 'c1565489', 'c0267792', 'c0917798', 'c0948594', 'c0026821', 'c0027051', 'c1510410', 'c0016382', 'c0020651', 'c0042571', 'c0017152', 'c0002878', 'c0575090', 'c0687713', 'c0002622', 'c2830004', 'c0022346', 'c0442874', 'c0858678', 'c0027796', 'c0032617', 'c0340865', 'c0162830', 'c0162557', 'c0002170', 'c0013404', 'c0004093', 'c0020649', 'c0262985', 'c0002792', 'c0025061', 'c1167965', 'c0015967', 'c0040034', 'c3665347', 'c0021141', 'c0033687', 'c0011991', 'c0014591', 'c0041834', 'c0162429', 'c0027947', 'c1443060', 'c0231218', 'c0948089', 'c0232487', 'c0011606', 'c0948050', 'c0232459', 'c0851578', 'c0085096', 'c0009782', 'c0442856', 'c0160390', 'c0220870', 'c0002962', 'c0003467', 'c0038325', 'c0015672', 'c0021400', 'c0017675', 'c0020625', 'c0553704', 'c2364111', 'c0030312', 'c0549336', 'c0041657', 'c0038990', 'c0877167', 'c0152025', 'c0006266', 'c0151746', 'c0033774', 'c0003811', 'c0030305', 'c0010200', 'c0023530', 'c1610056', 'c0853760']"
db00179,"['db00179', 'db00988', 'db01288', 'db01102', 'db01235', 'db01064', 'db00841']","['db00179', 'db00179', 'db00988', 'db01288', 'db01102', 'db01235', 'db01064', 'db00841']"
db00180,"['db00180', 'db00591', 'db01130', 'db00596', 'db00663', 'db00324', 'db00959', 'db00764', 'db01222', 'db01260', 'db00620']","['db00180', 'db00180', 'db00591', 'db01130', 'db00596', 'db00663', 'db00324', 'db00959', 'db00764', 'db01222', 'db01260', 'db00620', 'c0033774', 'c0020458', 'c0235710', 'c0041912', 'c0042109', 'c0037383', 'c0234215', 'c0039070', 'c0027424', 'c0042571', 'c3263723', 'c0031350', 'c0041657', 'c0235339', 'c0007859', 'c0232462', 'c0858259', 'c0035455', 'c0232487', 'c0085631', 'c0006849', 'c0699744', 'c0085649', 'c0162429', 'c0014742', 'c0023067', 'c0032231', 'c0039231', 'c0018681', 'c0240557', 'c0687713', 'c2364111', 'c0038362', 'c0948595', 'c0231218', 'c0006266', 'c0019825', 'c0232461', 'c0344232', 'c0086543', 'c0152029', 'c0700184', 'c0000737', 'c0006840', 'c0036974', 'c0015672', 'c0013595', 'c0038990', 'c0235761', 'c0152227', 'c0042267', 'c0020538', 'c0020517', 'c0018834', 'c0009806', 'c0011603', 'c0003126', 'c0677500', 'c1443060', 'c0948349', 'c0009450', 'c0149931', 'c0235234', 'c0012833', 'c0043094', 'c0151736', 'c0151686', 'c0042029', 'c0013390', 'c0542101', 'c0003467', 'c0271738', 'c0013456', 'c0013404', 'c2363731', 'c0014591', 'c0231528', 'c0028643', 'c0030252', 'c0013378', 'c0022107', 'c0497156', 'c0004093', 'c0948594', 'c0040822', 'c0006277', 'c0027441', 'c0424295', 'c0000731', 'c0020580', 'c0917801', 'c2047937', 'c0235318', 'c1527344', 'c0008031', 'c0242429', 'c0027497', 'c0030193', 'c0017601', 'c0043144', 'c0013604', 'c0234708', 'c0086439', 'c0404521', 'c0009763', 'c0574067', 'c0010200', 'c3257803', 'c0085593', 'c0006905', 'c0042963', 'c0011991', 'c0001622', 'c0242073', 'c0037199', 'c0015230', 'c0010481', 'c0004604', 'c0015403', 'c0017675', 'c0015967', 'c0858524', 'c0017160', 'c0392703', 'c2363730', 'c0276680', 'c0232292', 'c0013395', 'c0235309', 'c1260880', 'c0032285', 'c0863093', 'c0278134']"
db00181,"['db00181', 'db01050']","['db00181', 'db00181', 'db01050', 'c0022650', 'c0040409', 'c0031256', 'c0028084', 'c0006826', 'c0018946', 'c0085593', 'c0000737', 'c0085612', 'c0007820', 'c0017181', 'c0233571', 'c0232462', 'c0015397', 'c0232602', 'c0220870', 'c1456784', 'c1142135', 'c0262385', 'c0013428', 'c0020649', 'c0259768', 'c0002170', 'c0424000', 'c0039231', 'c0151786', 'c0413252', 'c0008031', 'c0021400', 'c0030193', 'c0009806', 'c0003467', 'c0235063', 'c0234518', 'c0231365', 'c1258215', 'c0023518', 'c0013384', 'c0036572', 'c0017160', 'c0033975', 'c0028738', 'c0917798', 'c0232488', 'c0041969', 'c0240735', 'c0042024', 'c0030252', 'c0038661', 'c0085649', 'c0038999', 'c0149871', 'c0020651', 'c0027497', 'c1306341', 'c0549622', 'c0026961', 'c0028734', 'c0027765', 'c0036974', 'c0013363', 'c0013378', 'c0231837', 'c0004936', 'c0547030', 'c0009676', 'c3203358', 'c0018524', 'c0037274', 'c0232292', 'c0042109', 'c0009946', 'c0025061', 'c0278134', 'c0042023', 'c0085636', 'c0020580', 'c0231528', 'c0151818', 'c0017178', 'c0007097', 'c0009421', 'c0011991', 'c0392156', 'c0233794', 'c0151904', 'c0020701', 'c0007166', 'c0231530', 'c0151888', 'c0015230', 'c0948525', 'c0042075', 'c0040046', 'c0243026', 'c0087169', 'c0018932', 'c0080274', 'c0231218', 'c0018965', 'c0032290', 'c0012569', 'c0029408', 'c0151315', 'c0751295', 'c0270458', 'c2047937', 'c0015672', 'c0013404', 'c1145670', 'c2364111', 'c0041657', 'c2937350', 'c0152031', 'c0233477', 'c0020578', 'c3665386', 'c0004134', 'c0009450', 'c0023380', 'c0233407', 'c0404521', 'c0030232', 'c0232459', 'c0025289', 'c0002871', 'c1443060', 'c0178298', 'c1320474', 'c0040264', 'c0151849', 'c2242996', 'c0020538', 'c3665347', 'c0011603', 'c0013144', 'c0235439', 'c0700590', 'c0852908', 'c0013395', 'c0242350', 'c0043352', 'c0011616', 'c0026826', 'c0018681', 'c0235969', 'c0026205', 'c0011175', 'c0235146', 'c0039070', 'c0012833', 'c0852911', 'c0011168', 'c0035455', 'c0014394', 'c0234215', 'c0152198', 'c0344232', 'c0009782', 'c0016204', 'c0575081', 'c0152128', 'c0042373', 'c0031212', 'c0162429', 'c0020456', 'c0038663', 'c0030554', 'c0086565', 'c1269683', 'c0004604', 'c0043094', 'c0036690', 'c0042571', 'c0034065', 'c0151810', 'c0006145', 'c0004093', 'c0542571', 'c0042267', 'c0037299', 'c0038990', 'c0085631', 'c0687713', 'c0235710', 'c0028643', 'c0520966', 'c0037822', 'c0852733', 'c0038454', 'c0003811', 'c0085633', 'c0426390', 'c3263723', 'c0242184', 'c0018799', 'c0855775', 'c0043096', 'c0013362', 'c0151736', 'c0035078', 'c0040822', 'c0016382', 'c0015732', 'c0013604', 'c0026827', 'c0392674', 'c0151934', 'c0020458', 'c0042963', 'c0028961', 'c0003123', 'c0033774', 'c0032285', 'c0001925', 'c0151836', 'c0233632', 'c0002622', 'c0003578', 'c1321898', 'c0232849', 'c0917801', 'c0011570', 'c0233472', 'c0267792', 'c0392525', 'c0027424', 'c0086525', 'c0026838', 'c0428977', 'c0015967', 'c0020672', 'c2830004', 'c0037036', 'c0948594']"
db00182,"['db00182', 'db00600', 'db06770']","['db00182', 'db00182', 'db00600', 'db06770', 'c0042109', 'c0003467', 'c0151736', 'c0002792', 'c0855242', 'c0040188', 'c0011991', 'c0017178', 'c0020517', 'c0038990', 'c0233472', 'c0030252', 'c0948089', 'c3263723', 'c0233477', 'c0878544', 'c0038325', 'c0042769', 'c0232459', 'c0037822', 'c0011071', 'c0232492', 'c0040822', 'c0020458', 'c0013404', 'c0036572', 'c0013390', 'c0027497', 'c2830004', 'c0013384', 'c0277884', 'c0233494', 'c0014518', 'c0231530', 'c0220870', 'c0042029', 'c0039231', 'c0751900', 'c0917801', 'c0011124', 'c0000737', 'c0002994', 'c0338614', 'c0235146', 'c0221512', 'c0009806', 'c0018681', 'c0014742', 'c0242350', 'c0043352', 'c0009450', 'c0497247', 'c0027769', 'c0015672', 'c0687713', 'c0008031', 'c0022107', 'c0042963', 'c0040435', 'c0015967', 'c0162830', 'c0012833', 'c0232462', 'c0085631', 'c0085633', 'c0015230', 'c0011603', 'c0013395', 'c0043096', 'c0038454', 'c0033975', 'c0020538', 'c0011570', 'c0040517', 'c0004093', 'c0027051', 'c0003123']"
db00183,"['db00183', 'db00666', 'db00644', 'db08889']","['db00183', 'db00183', 'db00666', 'db00644', 'db08889']"
db00184,['db00184'],"['db00184', 'db00184', 'c0018801', 'c0085631', 'c0013395', 'c2242996', 'c3257803', 'c0013146', 'c1096250', 'c0038363', 'c0520966', 'c0019825', 'c0236000', 'c0233472', 'c0004936', 'c0010692', 'c0151505', 'c0039070', 'c0439857', 'c0005758', 'c0003537', 'c0235710', 'c0233794', 'c0019345', 'c0030252', 'c0012833', 'c0017574', 'c0039231', 'c0852733', 'c0027497', 'c0003862', 'c0042963', 'c0085624', 'c0231218', 'c0028043', 'c0025061', 'c0002994', 'c0700590', 'c0013604', 'c0149745', 'c0549405', 'c0853619', 'c0234233', 'c0162287', 'c0027769', 'c0021400', 'c0275378', 'c0235966', 'c1145670', 'c0238311', 'c0235198', 'c0017178', 'c0399459', 'c0003811', 'c0040409', 'c0021053', 'c0027441', 'c0233494', 'c0152227', 'c0036104', 'c0019521', 'c1527344', 'c0085632', 'c1260880', 'c0004604', 'c0040435', 'c0027424', 'c0234215', 'c0235266', 'c0700184', 'c0232487', 'c0030193', 'c0268000', 'c0040822', 'c0038661', 'c0948594', 'c0015967', 'c0497247', 'c3665347', 'c0232292', 'c0003864', 'c0240557', 'c0231528', 'c0403632', 'c0236075', 'c0013378', 'c0037199', 'c0027765', 'c0264267', 'c0015672', 'c0025345', 'c0853813', 'c0038358', 'c0008031', 'c2047937', 'c0341012', 'c0030554', 'c0234458', 'c0036974', 'c0041834', 'c1167842', 'c0006277', 'c0011991', 'c0004093', 'c0031350', 'c0392171', 'c0016204', 'c0013390', 'c3665386', 'c0000737', 'c0851578', 'c0232431', 'c0022107', 'c0023218', 'c0037036', 'c0521839', 'c0332575', 'c0043094', 'c0858259', 'c0085649', 'c0002622', 'c0033774', 'c1443060', 'c0917801', 'c0035455', 'c0030232', 'c0010200', 'c0037317', 'c0043352', 'c0233414', 'c0232849', 'c0549373', 'c0041657', 'c0018681', 'c0037763', 'c2830004', 'c0020580', 'c0233471', 'c0042109', 'c0231530', 'c0149931', 'c0020538', 'c0340464', 'c0011168', 'c0004238', 'c0009676', 'c0003467', 'c0014724', 'c0085633', 'c0277794', 'c0016382', 'c0038367', 'c1268766', 'c0014591', 'c0013404', 'c0036572', 'c0018799', 'c0040460', 'c0006266', 'c0013456', 'c0038362', 'c0020458', 'c1306341', 'c0020649', 'c0015230', 'c0028643', 'c0278134', 'c0600142', 'c0018834', 'c0038587', 'c0858635', 'c0040128', 'c0232492', 'c0037383', 'c0011603', 'c0035232', 'c0687713', 'c0085932', 'c0234131', 'c0020517', 'c0221423', 'c0232461', 'c0542203', 'c0702166', 'c0042571', 'c0009806', 'c0002792']"
